Tabla,Age,x,a,b,c,d,e,f,g
UN - Latin America,15,1,0.6892,-1.6937,0.6464,0.0106,1.1703,0.5129,-0.385
UN - Latin America,20,2,1.3625,-0.3778,-0.2892,-0.0041,1.6955,4.132,-0.1635
UN - Latin America,25,3,1.0877,0.0197,-0.2986,0.0024,1.8296,2.902,3.4707
UN - Latin America,30,5,0.75,0.0532,-0.1106,0.0115,2.1783,-2.5688,9.0883
UN - Latin America,35,10,0.5605,0.0222,0.017,0.0171,2.8836,-10.3282,15.4301
UN - Latin America,40,15,0.5024,0.0028,0.0048,0.018,4.458,-17.1809,20.4296
UN - Latin America,45,20,0.5326,0.0052,0.0256,0.0168,6.9351,-19.3871,23.4007
UN - General,15,1,0.721,-1.4686,0.5746,0.0095,1.2136,0.974,-0.5247
UN - General,20,2,1.3115,-0.336,-0.2475,-0.0034,1.7025,4.1569,-0.1232
UN - General,25,3,1.0768,0.0109,-0.2695,0.0021,1.836,2.8632,3.522
UN - General,30,5,0.7682,0.0439,-0.109,0.0105,2.1882,-2.6521,9.1961
UN - General,35,10,0.5769,0.0176,0.0038,0.0165,2.9682,-10.3053,15.3161
UN - General,40,15,0.4845,0.0034,0.0036,0.0187,4.6526,-16.692,19.8534
UN - General,45,20,0.476,0.0071,0.0246,0.0189,7.1425,-18.3021,22.4168
Princeton - West,15,1,1.1415,-2.707,0.7663,0,1.097,5.5628,-1.9956
Princeton - West,20,2,1.2563,-0.5381,-0.2637,0,1.3062,5.5677,0.2962
Princeton - West,25,3,1.1851,0.0633,-0.4177,0,1.5305,2.5528,4.8962
Princeton - West,30,5,1.172,0.2341,-0.4272,0,1.9991,-2.4261,10.4282
Princeton - West,35,10,1.1865,0.308,-0.4452,0,2.7632,-8.4065,16.1787
Princeton - West,40,15,1.1746,0.3314,-0.4537,0,4.3468,-13.2436,20.199
Princeton - West,45,20,1.1639,0.319,-0.4435,0,7.5242,-14.2013,20.0162
Princeton - South,,,1.0819,-3.0005,0.8689,0,1.0900,5.4443,-1.9721
Princeton - South,,,1.2846,-0.6181,-0.3024,0,1.3079,5.5568,0.2021
Princeton - South,,,1.2223,0.0851,-0.4704,0,1.5173,2.6755,4.7471
Princeton - South,,,1.1905,0.2631,-0.4487,0,1.9399,-2.2739,10.3876
Princeton - South,,,1.1911,0.3152,-0.4291,0,2.6157,-8.4819,16.5153
Princeton - South,,,1.1564,0.3017,-0.3958,0,4.0794,-13.8308,21.1866
Princeton - South,,,1.1307,0.2596,-0.3538,0,7.1796,-15.3880,21.7892
