"age","f","m"
0,-5.1434,-4.9376
1,-6.9847,-6.7604
2,-8.1263,-7.8737
3,-8.296,-7.9834
4,-8.475,-8.1497
5,-8.6084,-8.2851
6,-8.7217,-8.3666
7,-8.8148,-8.4156
8,-8.8967,-8.464
9,-8.933,-8.5207
10,-8.9716,-8.5528
11,-8.9725,-8.5268
12,-8.9353,-8.452
13,-8.8044,-8.2928
14,-8.6244,-8.081
15,-8.4125,-7.7831
16,-8.2371,-7.4626
17,-8.084,-7.1252
18,-7.9726,-6.8958
19,-7.9208,-6.7754
20,-7.9235,-6.744
21,-7.9242,-6.7149
22,-7.9292,-6.7004
23,-7.9346,-6.6985
24,-7.911,-6.6985
25,-7.8563,-6.6965
26,-7.8009,-6.6789
27,-7.7772,-6.6556
28,-7.7247,-6.6217
29,-7.6466,-6.6038
30,-7.5585,-6.5713
31,-7.5035,-6.5321
32,-7.4414,-6.4792
33,-7.3672,-6.4309
34,-7.2642,-6.3771
35,-7.1601,-6.3155
36,-7.0877,-6.2606
37,-7.0044,-6.1905
38,-6.908,-6.1106
39,-6.8007,-6.0242
40,-6.7229,-5.9466
41,-6.6227,-5.8612
42,-6.5213,-5.7653
43,-6.4139,-5.6741
44,-6.3197,-5.5831
45,-6.2298,-5.4933
46,-6.1335,-5.4016
47,-6.0364,-5.3159
48,-5.934,-5.2276
49,-5.8394,-5.1335
50,-5.7533,-5.0416
51,-5.6695,-4.9497
52,-5.5882,-4.8631
53,-5.5047,-4.773
54,-5.422,-4.6829
55,-5.3325,-4.5905
56,-5.2444,-4.5037
57,-5.1596,-4.418
58,-5.0766,-4.3316
59,-4.9908,-4.2393
60,-4.9012,-4.1526
61,-4.8086,-4.0643
62,-4.718,-3.9785
63,-4.6262,-3.8862
64,-4.5331,-3.7999
65,-4.4375,-3.7132
66,-4.3396,-3.6274
67,-4.2397,-3.5404
68,-4.1368,-3.451
69,-4.0272,-3.3595
70,-3.919,-3.2709
71,-3.8085,-3.1798
72,-3.6981,-3.0867
73,-3.5805,-2.9918
74,-3.4648,-2.9008
75,-3.3469,-2.8083
76,-3.2321,-2.7166
77,-3.1152,-2.6237
78,-2.9968,-2.5297
79,-2.8732,-2.4328
80,-2.7562,-2.3407
81,-2.6382,-2.2476
82,-2.5215,-2.1549
83,-2.4009,-2.0586
84,-2.2871,-1.9671
85,-2.1739,-1.8753
86,-2.0632,-1.7852
87,-1.9559,-1.6959
88,-1.8517,-1.6104
89,-1.7465,-1.5235
90,-1.6463,-1.4391
91,-1.5501,-1.3552
92,-1.4579,-1.2754
93,-1.3665,-1.1967
94,-1.2765,-1.1253
95,-1.1861,-1.0557
96,-1.1002,-0.9888
97,-1.02,-0.9226
98,-0.9429,-0.8596
99,-0.8695,-0.7995
100,-0.7999,-0.7423
